TIC,RAJ2000,DEJ2000,Period,ecc,base_flux,T0,tdur_pri,tdur_sec,phi_sec,sector1,sector2,nsector,npri,nsec,subtype,oce,meb,etv,oeb,sgl,Gaia3,Gmag,BP-RP,TOI,TOI_Disp,comments
366072761,356.63693,69.82761,7.6597279,0.041,1645.1696,1766.5771954,0.1353039,0.1353039,0.4847,17,58,4,12,11,detached,,,,,,2214481981022834560,13.487,2.2721,,,good
366499079,127.18817,10.05185,7.5385361,0.068,1119.3479,2965.0653609,0.1883496,0.1882927,0.527,61,88,3,9,9,detached,,,,,,599960412461598080,13.861,2.1405,,,good ztfv
366752614,77.0265,30.43981,26.083002,0.0,780.57837,2494.2587469,1.9723092,2.6083002,0.5,43,44,2,2,2,detached,,,,,,156430577302380800,14.622,3.228,,,?
368334916,11.288,71.45554,23.5151765,0.52,1316.562,1979.0700233,0.1467924,0.1467924,0.8153,24,79,6,5,4,detached,,,,,,536204543535311232,13.724,2.1365,,,good ztfv
368736506,16.3526,71.63686,1.9726278,0.1,345.3598,1956.1373774,0.0492859,0.0492859,0.5,24,52,2,23,21,detached,,,,,,533594199851832704,15.275,2.5869,,,ztfv
369215499,313.85158,-40.25771,0.8388685,0.077,242.15326,2037.0842945,0.0561514,0.0838868,0.5,27,27,1,28,28,detached,,,,,,6773785959828888832,15.307,1.961,,,good
369586828,2.51735,-46.01565,0.0820018,0.0,3880.2341,1354.3249817,0.0163806,0.0231691,0.5,2,69,2,564,564,contact,,,,,,4990449121154330880,12.501,2.0806,,,? WB
369603748,21.86676,-43.87313,6.062458,0.051,96.93626,2092.0821308,0.0986808,0.0926634,0.496,29,30,2,7,7,detached,,,,,,4935451996210105472,16.522,2.2085,,,good
371103468,108.42448,38.77919,1.6687067,0.046,6213.1719,2580.9982075,0.0583928,0.055855,0.4999,47,47,1,13,14,detached,1,,,,,946555472859979008,12.081,2.0632,,,?
372953580,66.37493,8.93525,4.0731142,0.002,1101.0918,2175.5543343,0.0879847,0.0882194,0.4991,32,32,1,7,5,detached,1,,,,,3299504691240013696,14.115,2.6072,,,good ztfv
374861595,88.58978,-64.1298,3.8739048,0.05,369.09949,2036.5459523,0.0869115,0.0857058,0.5,27,97,24,135,140,detached,1,,,,,4756470194913503104,15.249,2.4701,,,good
375036945,99.80709,-65.76074,3.17974,0.077,89.1312,3936.5323837,0.158939,0.158939,0.5,97,97,1,13,12,detached,,1,,,,5283761989808619904,16.633,2.2754,,,gaia3 MEB
375052613,151.26329,-60.30148,3.2876381,0.0,2993.064,2282.7024906,0.232436,0.232436,0.5,36,37,2,16,14,detached,,,,,,5256502996316732928,12.557,1.9273,,,?
375517114,307.09237,5.4091,2.1642752,0.1,1876.7493,2770.5152579,0.2164275,0.2164275,0.5,54,54,1,4,6,detached,,,,,,4246382183568597120,13.602,2.9576,,,?
376813436,180.81375,5.31849,1.2915315,0.052,1083.5201,3262.3111565,0.060074,0.0645571,0.4992,72,72,1,18,16,detached,1,,,,,3894999432929077888,13.879,2.0124,,,ztfv
377129640,149.09924,6.80046,1.6412108,0.043,1566.3252,2526.9470591,0.0473088,0.0579993,0.5,45,46,2,28,28,detached,1,,1,,,3850549957388322816,13.643,2.5369,,,good
378421253,155.37521,-63.73617,1.5030727,0.0,158.49675,3747.5002442,0.1503073,0.1503073,0.5,90,90,1,19,17,detached,,,,,,5251740294225360128,15.966,2.9313,,,?
378531958,0.44528,67.50697,5.3318967,0.355,68934.867,3612.5942409,0.5331897,0.5331897,0.2809,85,85,1,4,5,detached,,,1,,,528594342521399168,9.332,1.8972,,,good
379847121,328.58651,21.91676,3.0749218,0.155,183.95895,3534.0049581,0.217397,0.217397,0.5,82,82,1,9,8,detached,,,,,,1793189669745303552,15.791,1.9606,,,?
380362859,206.68723,-63.77621,3.0930468,0.0,153.8179,4076.1084435,0.1006408,0.1000318,0.5007,100,100,1,8,8,detached,,,,,,5864566534630584704,15.418,1.9901,,,?
380704836,269.40266,-62.99853,2.6408767,0.176,320.83536,1657.8103492,0.132004,0.132004,0.5,13,13,1,9,9,detached,,,,,,5910989839669085184,15.131,1.9534,,,?
381856446,322.25263,-58.83475,3.53808,0.058,1896.6283,2037.7742998,0.0624978,0.0624978,0.5,27,67,2,12,10,detached,,,,,,6458529931463278976,13.344,2.097,,,? WB
381963518,267.95086,-21.24766,2.8637711,0.365,4.86157,3775.5598165,0.5725812,0.5725812,0.5,91,92,2,15,14,detached,,,1,,,4118685178086094464,18.232,2.4322,,,gaia3
382602147,36.15606,-64.99997,4.2714,0.045,772.83722,2062.3424555,0.1067205,0.1067205,0.5,28,69,4,19,19,detached,,,,,,4699702272124241152,14.388,2.0662,2384,PC,?
382867002,183.63752,-63.92195,5.1523601,0.0,884.07654,4075.9303806,0.1966279,0.1887041,0.4976,100,100,1,5,5,detached,,,,,,6053364741409631360,14.198,2.9159,,,?
383055703,133.7761,-58.28894,1.0029022,0.035,273.68723,2256.1753225,0.1002902,0.1002902,0.5,35,37,3,63,63,detached,,,,,,5303408407181771648,15.099,2.5447,,,?
383598522,248.19592,19.97521,3.6567385,0.018,4622.9219,1985.232511,0.0913633,0.0913633,0.4986,25,52,2,10,11,detached,1,,,,,4563692443251767680,12.407,2.299,,,good ztfv
387544749,44.25195,10.3187,2.8186944,0.023,7319.7314,1411.7442014,0.0996108,0.0996108,0.5,4,71,6,44,44,detached,,,1,,,27308020547044864,11.863,2.0648,,,vespa
388076422,317.90017,68.4021,5.1523794,0.083,832.43079,2827.2272607,0.0910133,0.0910133,0.5,56,86,9,40,37,detached,,,,,,2270404997834401664,14.296,2.1781,6034,PC,?
388413127,125.13605,-51.54541,4.6765824,0.025,1412.4714,2233.5582256,0.1652673,0.1652673,0.5013,34,36,3,12,14,detached,,,,,,5322435936930192512,13.748,2.3509,,,?
